0,1,2,3,4,5,6,7,8,9,label
0.79419386,0.7568933,0.6777499,0.39827812,0.39517584,0.6312822,0.5742536,0.38914102,0.9010876,0.9530334,heart
1.0482042,0.7754117,0.69029534,0.37111568,0.3735419,0.679664,0.6633656,0.41553104,0.886572,0.73975253,heart
0.8622643,0.77735615,0.7001268,0.3844355,0.38709524,0.61454266,0.6151451,0.3907604,0.8898866,0.9015289,heart
0.82062566,0.78240186,0.67243177,0.37426227,0.3932403,0.6041263,0.61887586,0.40301543,0.8748747,0.9534211,heart
0.7903567,0.76866156,0.68978345,0.39383617,0.39797324,0.561828,0.62292975,0.37447858,0.90617967,0.9725502,heart
0.91712934,0.7562885,0.71865225,0.3807502,0.377934,0.6392528,0.6464508,0.3967033,0.9075171,0.82462585,heart
0.99153715,0.80009997,0.68876565,0.38592747,0.35119954,0.7524001,0.59538436,0.4724711,0.86093223,0.80692893,heart
1.0021914,0.779733,0.6768216,0.38925934,0.36956424,0.69771165,0.57534176,0.42425558,0.8901886,0.778028,heart
1.2542024,0.77675706,0.6678537,0.36819965,0.37360376,0.7088892,0.75182396,0.4244016,0.87266785,0.6193235,heart
0.79919094,0.77277267,0.6938293,0.38157427,0.3901449,0.57987744,0.62171054,0.39544553,0.8895343,0.9669438,heart
0.99388087,0.776893,0.7117214,0.37319273,0.37380216,0.6580056,0.6009988,0.39460108,0.9022743,0.78167623,heart
0.91454464,0.78299993,0.6704267,0.37339976,0.38186717,0.58162767,0.70726734,0.42327005,0.87993604,0.85616374,heart
0.8268331,0.7895763,0.6523317,0.38622677,0.38008514,0.6058677,0.63362813,0.4255192,0.86157846,0.95494026,heart
0.8785102,0.79031366,0.6500479,0.37736583,0.3935602,0.5538952,0.67842233,0.4084915,0.8562336,0.8996067,heart
0.78078985,0.76328397,0.70085543,0.39571378,0.3876179,0.5720617,0.606534,0.36077595,0.9117971,0.9775793,heart
1.5210445,0.7628981,0.6758976,0.38057327,0.3752117,0.7902936,0.7511451,0.34767327,0.90865934,0.501562,heart
0.9203952,0.7599675,0.6876148,0.386298,0.38357982,0.5924838,0.63729036,0.372483,0.9047264,0.82569695,heart
0.7751763,0.8038529,0.69327503,0.38837296,0.38665214,0.44542983,0.7270276,0.40571854,0.8833544,1.0369936,heart
0.8549665,0.7698853,0.67349976,0.39223054,0.39122942,0.5700863,0.6309815,0.37354666,0.88815796,0.90048593,heart
0.8936872,0.7836663,0.6924762,0.3625026,0.37658924,0.66669756,0.6328958,0.44650027,0.8984168,0.87689114,heart
0.7893229,0.7747495,0.6820659,0.38976982,0.39898062,0.50113285,0.68928516,0.38211423,0.89116395,0.9815368,heart
0.9442555,0.7815916,0.7040349,0.4086018,0.3795567,0.6941767,0.5481302,0.36056313,0.8981126,0.8277332,heart
0.9957222,0.78108084,0.66840434,0.36007553,0.4071667,0.51133114,0.7750861,0.3989989,0.8740736,0.7844365,heart
1.4352376,0.78301597,0.66980183,0.35467136,0.3709246,0.8026105,0.8342478,0.4444795,0.8606394,0.5455654,heart
1.2286502,0.779657,0.68460375,0.35811776,0.38496736,0.6266747,0.8377294,0.41972047,0.8857911,0.63456386,heart
1.0175588,0.78399944,0.66045743,0.3594928,0.3780238,0.63032967,0.73730445,0.4516199,0.8575765,0.7704709,heart
0.85839945,0.78076464,0.6500807,0.37857902,0.3900775,0.5953102,0.67659867,0.42570338,0.86528367,0.90955865,heart
1.2207673,0.79921407,0.698317,0.38372245,0.37336016,0.7382425,0.6472508,0.39630464,0.87569934,0.65468174,heart
